feature	score	p-value	#I-out-of-20	#O-out-of-334
,,group_11674	33.4	7.50239652957e-09	2.0	0.0
,,group_38372	33.4	7.50239652957e-09	2.0	0.0
,,group_21068	33.4	7.50239652957e-09	2.0	0.0
,,group_20994	33.4	7.50239652957e-09	2.0	0.0
,,group_15859	33.2033532934	8.30072642567e-09	6.0	9.0
,,group_17110	32.695971693	1.0776032004e-08	5.0	6.0
,,group_26372	32.695971693	1.0776032004e-08	5.0	6.0
,,queC_3	32.695971693	1.0776032004e-08	5.0	6.0
,,group_17109	32.695971693	1.0776032004e-08	5.0	6.0
,,group_26373	32.695971693	1.0776032004e-08	5.0	6.0
,,group_4891	32.695971693	1.0776032004e-08	5.0	6.0
,,tatD_2	32.695971693	1.0776032004e-08	5.0	6.0
,,group_7208	29.519760479	5.53495020106e-08	4.0	4.0
,,group_16325	29.519760479	5.53495020106e-08	4.0	4.0
,,group_14000	29.519760479	5.53495020106e-08	4.0	4.0
,,group_18943	29.519760479	5.53495020106e-08	4.0	4.0
,,group_16942	29.519760479	5.53495020106e-08	4.0	4.0
,,sutR_3	29.519760479	5.53495020106e-08	4.0	4.0
,,group_18942	29.519760479	5.53495020106e-08	4.0	4.0
,,group_87	29.519760479	5.53495020106e-08	4.0	4.0
,,group_19102	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_26367	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_8418	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_14373	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_18041	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_26368	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_17598	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_17597	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_403	29.2028443114	6.51834471858e-08	5.0	7.0
,,group_11124	29.1265469062	6.78015467524e-08	8.0	19.0
,,group_41851	28.0262064107	1.19683630778e-07	6.0	11.0
,,group_35616	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_13217	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_33239	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_21140	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35610	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35623	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35612	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35613	27.7079041916	1.41085067086e-07	3.0	2.0
,,group_35614	27.7079041916	1.41085067086e-07	3.0	2.0
