feature	score	p-value	#I-out-of-20	#O-out-of-406
,,group_36542	20.3	6.62005839055e-06	1.0	0.0
,,group_38819	20.3	6.62005839055e-06	1.0	0.0
,,group_32186	20.3	6.62005839055e-06	1.0	0.0
,,group_32020	20.3	6.62005839055e-06	1.0	0.0
,,group_10079	20.3	6.62005839055e-06	1.0	0.0
,,group_14745	20.3	6.62005839055e-06	1.0	0.0
,,group_21129	20.3	6.62005839055e-06	1.0	0.0
,,group_30749	20.3	6.62005839055e-06	1.0	0.0
,,msrA_4	20.3	6.62005839055e-06	1.0	0.0
,,group_36565	20.3	6.62005839055e-06	1.0	0.0
,,group_36556	20.3	6.62005839055e-06	1.0	0.0
,,group_36569	20.3	6.62005839055e-06	1.0	0.0
,,group_4416	20.3	6.62005839055e-06	1.0	0.0
,,rclC_1	20.3	6.62005839055e-06	1.0	0.0
,,group_38836	20.3	6.62005839055e-06	1.0	0.0
,,group_21139	20.3	6.62005839055e-06	1.0	0.0
,,group_21092	20.3	6.62005839055e-06	1.0	0.0
,,group_36543	20.3	6.62005839055e-06	1.0	0.0
,,group_30736	20.3	6.62005839055e-06	1.0	0.0
,,group_21253	20.3	6.62005839055e-06	1.0	0.0
,,group_36564	20.3	6.62005839055e-06	1.0	0.0
,,group_38772	20.3	6.62005839055e-06	1.0	0.0
,,group_36446	20.3	6.62005839055e-06	1.0	0.0
,,glcR	20.3	6.62005839055e-06	1.0	0.0
,,group_21010	20.3	6.62005839055e-06	1.0	0.0
,,group_38812	20.3	6.62005839055e-06	1.0	0.0
,,group_7206	20.3	6.62005839055e-06	1.0	0.0
,,group_21095	20.3	6.62005839055e-06	1.0	0.0
,,group_36302	20.3	6.62005839055e-06	1.0	0.0
,,group_36552	20.3	6.62005839055e-06	1.0	0.0
,,group_30743	20.3	6.62005839055e-06	1.0	0.0
,,group_21026	20.3	6.62005839055e-06	1.0	0.0
,,group_1958	20.3	6.62005839055e-06	1.0	0.0
,,hmuT_1	20.3	6.62005839055e-06	1.0	0.0
