feature	score	p-value	#I-out-of-206	#O-out-of-220
,,group_9829	9.73091044877	0.00181194712489	44.0	21.0
,,group_9701	9.72430316317	0.00181847252893	60.0	33.0
,,group_6131	9.6727149572	0.00187024732841	56.0	30.0
,,group_8080	9.65933014354	0.00188392302225	103.0	68.0
,,group_13283	9.61189320388	0.0019332123865	11.0	33.0
,,group_8216	9.61165048544	0.0019334679162	9.0	0.0
,,group_22968	9.61165048544	0.0019334679162	9.0	0.0
,,group_7687	9.61165048544	0.0019334679162	9.0	0.0
,,group_22135	9.52238683646	0.00202980410208	1.0	13.0
,,group_22136	9.52238683646	0.00202980410208	1.0	13.0
,,group_16824	9.52238683646	0.00202980410208	1.0	13.0
,,group_8753	9.52238683646	0.00202980410208	1.0	13.0
,,group_5351	9.52238683646	0.00202980410208	1.0	13.0
,,group_16823	9.52238683646	0.00202980410208	1.0	13.0
,,wbpI	9.50142236404	0.00205312680566	66.0	38.0
,,gnu	9.50142236404	0.00205312680566	66.0	38.0
,,group_13800	9.50142236404	0.00205312680566	66.0	38.0
,,tagO	9.50142236404	0.00205312680566	66.0	38.0
,,fhuA_5	9.49973521624	0.00205501550883	105.0	70.0
,,group_4326	9.49603727032	0.00205916139548	57.0	31.0
,,acsAB	9.49089462185	0.00206494108778	76.0	46.0
,,group_21248	9.48987103318	0.00206609343465	45.0	22.0
,,group_213	9.4513787839	0.00210990434836	49.0	25.0
,,tnsB_3	9.42249148909	0.00214340102562	26.0	9.0
,,fom3	9.42249148909	0.00214340102562	26.0	9.0
,,group_22310	9.42249148909	0.00214340102562	26.0	9.0
,,group_22312	9.42249148909	0.00214340102562	26.0	9.0
,,rhlE_4	9.42249148909	0.00214340102562	26.0	9.0
,,yeaP	9.42249148909	0.00214340102562	26.0	9.0
,,ldc_2	9.42249148909	0.00214340102562	26.0	9.0
,,group_22308	9.42249148909	0.00214340102562	26.0	9.0
,,rhtA_2	9.42249148909	0.00214340102562	26.0	9.0
,,group_22311	9.42249148909	0.00214340102562	26.0	9.0
,,group_4904	9.39342685929	0.00217764778917	16.0	41.0
,,group_7089	9.37868490733	0.00219522980139	35.0	15.0
,,group_6764	9.37024661233	0.00220535847399	27.0	58.0
,,group_19210	9.36363636364	0.00221332600399	0.0	10.0
,,group_37127	9.36363636364	0.00221332600399	0.0	10.0
,,group_37126	9.36363636364	0.00221332600399	0.0	10.0
,,spo0C_2	9.36363636364	0.00221332600399	0.0	10.0
,,group_19212	9.36363636364	0.00221332600399	0.0	10.0
,,group_33243	9.36363636364	0.00221332600399	0.0	10.0
,,group_37131	9.36363636364	0.00221332600399	0.0	10.0
,,group_37129	9.36363636364	0.00221332600399	0.0	10.0
,,group_23893	9.36363636364	0.00221332600399	0.0	10.0
,,group_37130	9.36363636364	0.00221332600399	0.0	10.0
,,group_37132	9.36363636364	0.00221332600399	0.0	10.0
,,group_37128	9.36363636364	0.00221332600399	0.0	10.0
,,rfbX	9.36119585672	0.0022162749943	67.0	39.0
,,group_34159	9.35851721094	0.00221951632822	21.0	6.0
PA14_59700,,group_2446	9.32730803177	0.0022576377484	58.0	32.0
,,garK_2	9.26293027361	0.00233838586292	46.0	23.0
,,dns	9.24848330004	0.00235690548583	50.0	26.0
,,group_13038	9.22831421006	0.00238300951346	102.0	68.0
PA14_59890,,group_4118	9.17134686673	0.00245833582346	54.0	96.0
,,folP_2	9.12262797882	0.00252467021953	19.0	5.0
,,group_13228	9.11492134365	0.00253532857506	2.0	15.0
,,group_9142	9.11139356654	0.00254022275395	64.0	37.0
PA14_08280,,group_21217	9.10217208792	0.00255306130043	26.0	56.0
,,group_4887	9.0960282436	0.00256165156943	24.0	8.0
,,group_6814	9.07282232331	0.00259436343467	36.0	16.0
,,puuB_3	9.07282232331	0.00259436343467	36.0	16.0
,,rhsC_4	9.07282232331	0.00259436343467	36.0	16.0
PA14_59900,,group_6134	9.06466262897	0.00260596611676	52.0	93.0
,,group_16434	9.05610360513	0.00261819323864	51.0	27.0
,,group_30052	9.01330538394	0.00268021271286	11.0	1.0
,,group_10234	9.01330538394	0.00268021271286	11.0	1.0
,,frmR	8.98616780671	0.0027203088434	7.0	25.0
,,group_22320	8.9778392691	0.00273273610141	27.0	10.0
,,hin_5	8.9778392691	0.00273273610141	27.0	10.0
,,group_22341	8.9778392691	0.00273273610141	27.0	10.0
,,group_22298	8.9778392691	0.00273273610141	27.0	10.0
,,group_22299	8.9778392691	0.00273273610141	27.0	10.0
,,group_22300	8.9778392691	0.00273273610141	27.0	10.0
,,group_22301	8.9778392691	0.00273273610141	27.0	10.0
,,group_22319	8.9778392691	0.00273273610141	27.0	10.0
,,group_22322	8.9778392691	0.00273273610141	27.0	10.0
,,group_4892	8.9778392691	0.00273273610141	27.0	10.0
,,group_25353	8.93440928004	0.00279847960001	17.0	4.0
,,group_10049	8.93440928004	0.00279847960001	17.0	4.0
,,uvrB_2	8.93162010715	0.00280275628269	11.0	32.0
,,group_13036	8.93101540109	0.0028036843631	106.0	72.0
,,group_13675	8.91103706973	0.00283452248457	3.0	17.0
,,katB_2	8.873451015	0.00289347643774	52.0	28.0
PA14_59880,,group_2646	8.86988686512	0.00289913107826	56.0	98.0
,,merA_2	8.84670954793	0.00293617748909	48.0	25.0
,,group_1762	8.84369289855	0.00294103451091	23.0	51.0
,,bglA	8.84045643677	0.00294625452171	66.0	39.0
,,kfoC	8.84045643677	0.00294625452171	66.0	39.0
,,group_3823	8.83213049087	0.00295972652672	5.0	21.0
,,group_6511	8.81769638129	0.00298323045347	15.0	3.0
,,group_5816	8.81769638129	0.00298323045347	15.0	3.0
,,group_5909	8.81539276258	0.00298699908052	13.0	2.0
,,group_11688	8.81539276258	0.00298699908052	13.0	2.0
,,group_7378	8.81539276258	0.00298699908052	13.0	2.0
,,group_788	8.78534558846	0.0030366003211	22.0	7.0
PA14_49520,pyoS3A,group_11446	8.7712605492	0.00306013887008	57.0	32.0
,,xerD_3	8.68505201626	0.00320830422191	41.0	20.0
,,group_21245	8.68505201626	0.00320830422191	41.0	20.0
,,group_233	8.67846785669	0.00321991567466	34.0	15.0
,,intA_2	8.67796362479	0.00322080666822	18.0	43.0
,,merR_4	8.65542100618	0.00326089724798	49.0	26.0
,,group_21939	8.64643710088	0.00327701553721	45.0	23.0
,,ltrA_3	8.62709360885	0.00331199569543	25.0	9.0
,,group_1745	8.61891603542	0.00332689767222	58.0	33.0
,,group_17293	8.60802498472	0.00334685029934	1.0	12.0
,,group_38170	8.60802498472	0.00334685029934	1.0	12.0
,,group_11309	8.60802498472	0.00334685029934	1.0	12.0
,,group_6299	8.60802498472	0.00334685029934	1.0	12.0
,,group_38171	8.60802498472	0.00334685029934	1.0	12.0
,,group_14012	8.60802498472	0.00334685029934	1.0	12.0
,,group_2287	8.57901418969	0.00340059429367	28.0	11.0
PA14_33740,pvdP,group_11312	8.57410058124	0.00340978351007	73.0	120.0
,,group_17601	8.54368932039	0.00346722167456	8.0	0.0
,,viaA	8.54368932039	0.00346722167456	8.0	0.0
