feature	score	p-value	#I-out-of-72	#O-out-of-334
,,group_22576	10.9890427478	0.000916521370388	5.0	3.0
,,group_22577	10.9890427478	0.000916521370388	5.0	3.0
,,yokD	10.9890427478	0.000916521370388	5.0	3.0
,,group_22564	10.9890427478	0.000916521370388	5.0	3.0
,,group_21557	10.9890427478	0.000916521370388	5.0	3.0
,,group_22563	10.9890427478	0.000916521370388	5.0	3.0
,,group_8624	10.9890427478	0.000916521370388	5.0	3.0
,,group_22514	10.9890427478	0.000916521370388	5.0	3.0
,,group_22371	10.9890427478	0.000916521370388	5.0	3.0
,,group_22573	10.9890427478	0.000916521370388	5.0	3.0
,,group_14341	10.9890427478	0.000916521370388	5.0	3.0
,,group_16933	10.9890427478	0.000916521370388	5.0	3.0
,,group_22411	10.9890427478	0.000916521370388	5.0	3.0
,,group_16982	10.9890427478	0.000916521370388	5.0	3.0
,,nhaA_1	10.9890427478	0.000916521370388	5.0	3.0
,,group_22572	10.9890427478	0.000916521370388	5.0	3.0
,,group_1503	10.9890427478	0.000916521370388	5.0	3.0
,,group_22565	10.9890427478	0.000916521370388	5.0	3.0
,,group_22516	10.9890427478	0.000916521370388	5.0	3.0
,,group_22370	10.9890427478	0.000916521370388	5.0	3.0
,,group_364	10.9500184029	0.000936026852281	17.0	30.0
,,group_13703	10.7794998239	0.00102630410639	18.0	33.0
,,group_12179	10.7794998239	0.00102630410639	18.0	33.0
,,pphA	10.7618672911	0.00103612793144	11.0	15.0
,,group_9633	10.7618672911	0.00103612793144	11.0	15.0
,,group_9806	10.7618672911	0.00103612793144	11.0	15.0
,,group_9940	10.6548388072	0.00109783311283	19.0	36.0
,,group_7340	10.5494011976	0.0011622573483	27.0	60.0
,,group_23460	10.4673078086	0.00121505660684	16.0	28.0
,,group_393	10.4673078086	0.00121505660684	16.0	28.0
,,group_6501	10.4673078086	0.00121505660684	16.0	28.0
,,group_17313	10.4673078086	0.00121505660684	16.0	28.0
,,group_3171	10.4486968093	0.00122736017148	10.0	13.0
,,xre_1	10.4486968093	0.00122736017148	10.0	13.0
,,group_2127	10.4486968093	0.00122736017148	10.0	13.0
,,group_22297	10.287511782	0.00133933575139	17.0	31.0
,,group_22296	10.287511782	0.00133933575139	17.0	31.0
,,group_24253	10.2502202802	0.00136668280014	14.0	23.0
,,group_14364	10.2502202802	0.00136668280014	14.0	23.0
,,group_26369	10.2172019597	0.00139136775685	6.0	5.0
,,group_5446	10.2172019597	0.00139136775685	6.0	5.0
,,group_14007	10.2172019597	0.00139136775685	6.0	5.0
,,group_1373	10.2172019597	0.00139136775685	6.0	5.0
,,group_10106	10.2172019597	0.00139136775685	6.0	5.0
,,group_8417	10.2172019597	0.00139136775685	6.0	5.0
,,group_35539	10.2172019597	0.00139136775685	6.0	5.0
,,group_25841	10.2172019597	0.00139136775685	6.0	5.0
,,group_22575	10.2172019597	0.00139136775685	6.0	5.0
,,group_5362	10.1948103792	0.0014083644173	12.0	18.0
,,group_4504	10.1916916168	0.00141074838151	9.0	11.0
,,group_10202	10.1916916168	0.00141074838151	9.0	11.0
,,group_14418	10.1916916168	0.00141074838151	9.0	11.0
,,lexA_4	10.1916916168	0.00141074838151	9.0	11.0
,,group_7447	10.0205862784	0.00154800185401	8.0	9.0
,,group_26393	10.0205862784	0.00154800185401	8.0	9.0
,,group_17802	10.0205862784	0.00154800185401	8.0	9.0
,,group_25235	10.0205862784	0.00154800185401	8.0	9.0
,,group_25238	10.0205862784	0.00154800185401	8.0	9.0
,,group_14433	10.0205862784	0.00154800185401	8.0	9.0
,,cat_5	10.0205862784	0.00154800185401	8.0	9.0
,,group_7349	9.99060212908	0.00157341147471	7.0	7.0
,,group_8391	9.99060212908	0.00157341147471	7.0	7.0
,,group_13517	9.99060212908	0.00157341147471	7.0	7.0
,,group_7378	9.99060212908	0.00157341147471	7.0	7.0
,,group_4192	9.99060212908	0.00157341147471	7.0	7.0
,,group_8418	9.99060212908	0.00157341147471	7.0	7.0
,,group_4095	9.99060212908	0.00157341147471	7.0	7.0
,,group_5711	9.97401291168	0.00158765086807	21.0	43.0
,,pcaR_1	9.97401291168	0.00158765086807	21.0	43.0
,,cmpD_1	9.97401291168	0.00158765086807	21.0	43.0
,,carAa	9.97401291168	0.00158765086807	21.0	43.0
,,group_13308	9.9660147298	0.00159456269451	23.0	49.0
,,clpP_3	9.9660147298	0.00159456269451	23.0	49.0
,,group_20516	9.9660147298	0.00159456269451	23.0	49.0
,,group_20517	9.9660147298	0.00159456269451	23.0	49.0
,,group_11276	9.9660147298	0.00159456269451	23.0	49.0
,,group_20515	9.9660147298	0.00159456269451	23.0	49.0
PA14_32830,,rhsC_2	9.93602135069	0.00162075481167	7.0	104.0
,,group_4689	9.91616766467	0.00163833162633	0.0	46.0
,,bcr_3	9.84741627855	0.00170070456074	4.0	2.0
,,group_33240	9.84741627855	0.00170070456074	4.0	2.0
,,group_26993	9.84741627855	0.00170070456074	4.0	2.0
,,group_26992	9.84741627855	0.00170070456074	4.0	2.0
,,group_19156	9.84741627855	0.00170070456074	4.0	2.0
,,group_33239	9.84741627855	0.00170070456074	4.0	2.0
,,group_26535	9.84741627855	0.00170070456074	4.0	2.0
,,group_26838	9.84741627855	0.00170070456074	4.0	2.0
,,group_35988	9.84741627855	0.00170070456074	4.0	2.0
,,group_35528	9.84741627855	0.00170070456074	4.0	2.0
,,group_26991	9.84741627855	0.00170070456074	4.0	2.0
,,group_37065	9.84741627855	0.00170070456074	4.0	2.0
,,group_17006	9.84741627855	0.00170070456074	4.0	2.0
,,group_26990	9.84741627855	0.00170070456074	4.0	2.0
,,group_12119	9.84741627855	0.00170070456074	4.0	2.0
,,group_26989	9.84741627855	0.00170070456074	4.0	2.0
,,group_2297	9.84741627855	0.00170070456074	4.0	2.0
,,group_26534	9.84741627855	0.00170070456074	4.0	2.0
,,group_14564	9.84741627855	0.00170070456074	4.0	2.0
,,group_35595	9.84741627855	0.00170070456074	4.0	2.0
,,smc_6	9.84741627855	0.00170070456074	4.0	2.0
,,group_3173	9.84741627855	0.00170070456074	4.0	2.0
,,group_2716	9.84741627855	0.00170070456074	4.0	2.0
,,group_16838	9.79664374954	0.00174830663909	16.0	29.0
,,group_22205	9.79664374954	0.00174830663909	16.0	29.0
,,group_22206	9.79664374954	0.00174830663909	16.0	29.0
,,hisF_1	9.79664374954	0.00174830663909	16.0	29.0
,,group_13902	9.79664374954	0.00174830663909	16.0	29.0
,,group_22208	9.79664374954	0.00174830663909	16.0	29.0
,,group_11515	9.79664374954	0.00174830663909	16.0	29.0
,,group_16837	9.79664374954	0.00174830663909	16.0	29.0
,,rdgC_1	9.79664374954	0.00174830663909	16.0	29.0
,,group_11802	9.79664374954	0.00174830663909	16.0	29.0
,,group_22209	9.79664374954	0.00174830663909	16.0	29.0
,,group_22210	9.79664374954	0.00174830663909	16.0	29.0
,,group_1725	9.79664374954	0.00174830663909	16.0	29.0
,,group_16841	9.79664374954	0.00174830663909	16.0	29.0
,,group_6764	9.68884453316	0.00185390083168	4.0	80.0
PA14_59340,pilT2,pilT_3	9.67519909676	0.00186772029528	14.0	151.0
PA14_59350,pilV2,group_5323	9.67519909676	0.00186772029528	14.0	151.0
,,group_10031	9.50737414061	0.00204647804479	19.0	38.0
,,group_16064	9.491703807	0.00206403057572	23.0	50.0
,,group_7084	9.46976578244	0.00208886041402	22.0	47.0
,,group_13895	9.46294334408	0.00209664375021	21.0	44.0
,,group_22720	9.42251607895	0.00214337228394	10.0	14.0
,,group_14033	9.42251607895	0.00214337228394	10.0	14.0
,,group_7377	9.42251607895	0.00214337228394	10.0	14.0
,,group_24758	9.42251607895	0.00214337228394	10.0	14.0
,,group_17713	9.42251607895	0.00214337228394	10.0	14.0
,,group_22719	9.42251607895	0.00214337228394	10.0	14.0
,,group_22718	9.42251607895	0.00214337228394	10.0	14.0
PA14_46390,,group_7216	9.37336592248	0.0022016087858	7.0	101.0
,,group_4849	9.34904384779	0.0022310183328	12.0	19.0
PA14_30960,traG,traG	9.33648359846	0.00224636154068	10.0	122.0
,,group_11651	9.30713572854	0.00228263058845	15.0	27.0
,,group_22382	9.27777777778	0.00231950660978	2.0	0.0
,,group_18102	9.27777777778	0.00231950660978	2.0	0.0
,,group_19078	9.27777777778	0.00231950660978	2.0	0.0
,,group_36769	9.27777777778	0.00231950660978	2.0	0.0
,,group_29797	9.27777777778	0.00231950660978	2.0	0.0
,,group_14547	9.27777777778	0.00231950660978	2.0	0.0
,,group_11335	9.27777777778	0.00231950660978	2.0	0.0
,,group_36765	9.27777777778	0.00231950660978	2.0	0.0
,,group_36762	9.27777777778	0.00231950660978	2.0	0.0
,,group_11847	9.27777777778	0.00231950660978	2.0	0.0
,,group_36768	9.27777777778	0.00231950660978	2.0	0.0
,,group_22345	9.27777777778	0.00231950660978	2.0	0.0
,,group_22348	9.27777777778	0.00231950660978	2.0	0.0
,,group_36767	9.27777777778	0.00231950660978	2.0	0.0
,,group_5536	9.27777777778	0.00231950660978	2.0	0.0
,,group_22381	9.27777777778	0.00231950660978	2.0	0.0
,,group_35874	9.27777777778	0.00231950660978	2.0	0.0
,,group_24842	9.27777777778	0.00231950660978	2.0	0.0
,,group_17042	9.27777777778	0.00231950660978	2.0	0.0
,,group_1260	9.27777777778	0.00231950660978	2.0	0.0
,,group_18763	9.27777777778	0.00231950660978	2.0	0.0
,,group_24840	9.27777777778	0.00231950660978	2.0	0.0
,,group_24850	9.27777777778	0.00231950660978	2.0	0.0
,,group_24903	9.27777777778	0.00231950660978	2.0	0.0
,,group_2775	9.27777777778	0.00231950660978	2.0	0.0
,,group_18083	9.27777777778	0.00231950660978	2.0	0.0
,,group_36121	9.27777777778	0.00231950660978	2.0	0.0
,,group_12759	9.27777777778	0.00231950660978	2.0	0.0
,,group_11851	9.27777777778	0.00231950660978	2.0	0.0
,,group_22379	9.27777777778	0.00231950660978	2.0	0.0
,,group_36766	9.27777777778	0.00231950660978	2.0	0.0
,,group_36763	9.27777777778	0.00231950660978	2.0	0.0
,,group_2298	9.27777777778	0.00231950660978	2.0	0.0
,,group_22380	9.27777777778	0.00231950660978	2.0	0.0
,,group_24772	9.27777777778	0.00231950660978	2.0	0.0
,,group_22602	9.27777777778	0.00231950660978	2.0	0.0
,,group_3120	9.27777777778	0.00231950660978	2.0	0.0
,,group_36775	9.27777777778	0.00231950660978	2.0	0.0
,,rrrD_2	9.27777777778	0.00231950660978	2.0	0.0
