feature	score	p-value	#I-out-of-135	#O-out-of-14
PA14_49620	48.5428320884	3.23153294433e-12	5352.0	730.0
PA14_09920	48.4496099131	3.38885722254e-12	4987.0	686.0
PA14_46860	48.2194177885	3.81095730481e-12	6272.0	839.0
PA14_56750	48.1657311439	3.91674015915e-12	5768.0	779.0
PA14_41960	48.1508408368	3.94659675732e-12	4668.0	647.0
PA14_71100,yeiH	48.0962674197	4.05798245084e-12	6156.0	825.0
PA14_39630	48.0877602906	4.07562692956e-12	3087.0	453.0
PA14_32140,antC	47.9618608721	4.34591111065e-12	3241.0	472.0
PA14_48460	47.9153600952	4.45021506054e-12	5007.0	356.0
PA14_53800,mntH2	47.8720332779	4.54965307345e-12	6616.0	879.0
PA14_36700	47.8365970508	4.63263249615e-12	5505.0	747.0
PA14_71350	47.7967375708	4.7277810435e-12	4549.0	632.0
PA14_34270,metN-1	47.7409399832	4.86426961714e-12	5189.0	709.0
PA14_28110	47.5733513981	5.2983851625e-12	5551.0	752.0
PA14_36960	47.3692585204	5.87975974953e-12	5806.0	782.0
PA14_49100,yfcG	47.1697184951	6.50984396207e-12	5742.0	774.0
PA14_48940,coaB	47.1409101518	6.60623142429e-12	1658.0	269.0
PA14_36010	47.1212260602	6.67291090784e-12	6676.0	505.0
PA14_32270,oprD3	47.0522440335	6.91194761442e-12	4858.0	668.0
PA14_36990	46.9939480718	7.12062404858e-12	4255.0	595.0
PA14_31130	46.9873280737	7.14471617088e-12	3175.0	201.0
PA14_28540	46.7241338928	8.17164279995e-12	4971.0	681.0
PA14_15750	46.722457993	8.17863407827e-12	5046.0	690.0
PA14_48240	46.5373184416	8.98901168259e-12	5601.0	756.0
PA14_65920	46.5158709388	9.08793909989e-12	6750.0	892.0
PA14_18790,opmE	46.4428658562	9.43291728012e-12	5998.0	803.0
PA14_18320	46.2754709658	1.02742181413e-11	5622.0	758.0
PA14_47410,ycgN	46.1110708847	1.11735275375e-11	7987.0	1036.0
PA14_39050,braZ	45.6157636198	1.43879003977e-11	6401.0	849.0
PA14_31030	45.5834953065	1.46268888251e-11	2612.0	390.0
PA14_32820	45.4716973126	1.54860485242e-11	2637.0	393.0
PA14_55290	45.4370533312	1.576240109e-11	6074.0	810.0
PA14_06230	45.322771853	1.67094950026e-11	6279.0	834.0
PA14_48340	45.3137726285	1.67864507535e-11	6093.0	812.0
PA14_18330,arnT	45.2921528516	1.69727824839e-11	6288.0	835.0
PA14_10300	45.0642145832	1.90678149027e-11	6504.0	860.0
PA14_13910	45.0074074074	1.96290533795e-11	434.0	0.0
PA14_03110	44.8557013233	2.12102401816e-11	5898.0	788.0
PA14_49750	44.8443859546	2.13331636243e-11	6423.0	850.0
PA14_39620	44.6655627034	2.33732358202e-11	4594.0	632.0
PA14_37510	44.6520161971	2.35355109075e-11	5220.0	707.0
PA14_37090,gbsA	44.6079028101	2.40718060509e-11	6266.0	831.0
PA14_47900	44.5978608678	2.41955870761e-11	5020.0	683.0
PA14_39140	44.4763239294	2.5745190675e-11	7753.0	1005.0
PA14_55060	44.4751887836	2.57601224776e-11	5451.0	401.0
PA14_48500	44.4191763139	2.65077830258e-11	5030.0	364.0
PA14_37730	44.3529725927	2.74195340192e-11	6101.0	811.0
PA14_18430,algJ	44.3354340167	2.7666289055e-11	4707.0	645.0
PA14_33830	43.9683977556	3.33720732556e-11	4033.0	563.0
PA14_43570	43.9229986432	3.41551816702e-11	6278.0	831.0
PA14_15140	43.9140948496	3.43109109569e-11	6448.0	851.0
PA14_63700	43.5848394406	4.05971952337e-11	5405.0	727.0
PA14_01690	43.2865301385	4.72827289732e-11	5857.0	780.0
PA14_18500,algG	43.121441249	5.14453694964e-11	5278.0	711.0
PA14_28080	43.0749358817	5.26828579421e-11	5136.0	694.0
PA14_59560	42.9800100185	5.53020502662e-11	710.0	135.0
PA14_37040,cupA2	42.9068426184	5.74095046643e-11	4180.0	579.0
PA14_28300	42.8230236782	5.99227362372e-11	3654.0	515.0
PA14_69520	42.7122136587	6.34150994262e-11	2715.0	399.0
PA14_39780,hvn	42.694921572	6.39781727117e-11	6487.0	853.0
PA14_51600	42.6494212048	6.54838022772e-11	7537.0	592.0
PA14_12150	42.6382389667	6.58592255951e-11	6471.0	851.0
PA14_48280	42.5229474519	6.98578100979e-11	5414.0	726.0
PA14_26390	42.4676985788	7.18592163782e-11	6619.0	868.0
PA14_14300	42.4157514783	7.37933397618e-11	3725.0	254.0
PA14_60130	42.3317876998	7.70303180484e-11	9372.0	761.0
